id,name,brand,line,description,sku,price,imageUrl,oem,specifications,characteristics,applications_brand,applications_model,applications_motor,applications_years
HLB-1004,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1004,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1004.jpg,,,,FORD,F-150,V6 3.7L,2011 - 2014
HLB-1004,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1004,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1004.jpg,,,,FORD,MUSTANG,V6 3.7L,2011 - 2017
HLB-1005,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1005,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1005.jpg,,,,FORD,IKON,L4 1.6L,1010-1015
HLB-1006,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1006,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1006.jpg,,,,NISSAN,KICKS,L4 1.6L,2017-2024
HLB-1007,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1007,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1007.jpg,,,,DODGE,ATTITUDE,L3 1.2L,2015 - 2021
HLB-1007,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1007,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1007.jpg,,,,MITSUBISHI,MIRAGE,L3 1.2L,2014 - 2021
HLB-1007,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1007,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1007.jpg,,,,MITSUBISHI,MIRAGE G4,L3 1.2L,2019 - 2022
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CADILLAC,ESCALADE,V8 6.0L,2009 - 2013
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CADILLAC,ESCALADE,V8 6.2L,2007 - 2014
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,AVALANCHE,V8 5.3L,2007 - 2013
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,AVALANCHE,V8 6.0L,2007 - 2009
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,COLORADO,V8 5.3L,2009 - 2012
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,EXPRESS 1500,V8 5.3L,2007 - 2014
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,EXPRESS 2500,V8 4.8L,2007 - 2016
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,EXPRESS 2500,V8 6.0L,2007 - 2016
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,EXPRESS 3500,V8 4.8L,2007 - 2016
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,EXPRESS 3500,V8 6.0L,2007 - 2016
HLB-1008,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1008,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1008.jpg,,,,CHEVROLET,SILVERADO 1500,V8 4.8L,2007 - 2013
